交易日期,策略总资产,策略涨跌幅,策略累计收益率,策略仓位比例,基准总资产,基准涨跌幅,基准累计收益率,调仓周期,选股数量
2017-01-03,1006527.6620,0.0065,1.0065,0.9648,3135.9200,0.0104,1.0104,20,30
2017-01-04,1047042.6620,0.0403,1.0470,0.9662,3158.7900,0.0073,1.0178,20,30
2017-01-05,1088955.6620,0.0400,1.0890,0.9675,3165.4100,0.0021,1.0199,20,30
2017-01-06,1128129.6620,0.0360,1.1281,0.9686,3154.3200,-0.0035,1.0163,20,30
2017-01-09,1176079.6620,0.0425,1.1761,0.9699,3171.2400,0.0054,1.0218,20,30
2017-01-10,1224981.6620,0.0416,1.2250,0.9711,3161.6700,-0.0030,1.0187,20,30
2017-01-11,1243959.6620,0.0155,1.2440,0.9715,3136.7500,-0.0079,1.0107,20,30
2017-01-12,1263513.6620,0.0157,1.2635,0.9720,3119.2900,-0.0056,1.0050,20,30
2017-01-13,1267403.6620,0.0031,1.2674,0.9721,3112.7600,-0.0021,1.0029,20,30
2017-01-16,1252912.6620,-0.0114,1.2529,0.9717,3103.4300,-0.0030,0.9999,20,30
2017-01-17,1299098.6620,0.0369,1.2991,0.9727,3108.7700,0.0017,1.0017,20,30
2017-01-18,1305101.6620,0.0046,1.3051,0.9729,3113.0100,0.0014,1.0030,20,30
2017-01-19,1304784.6620,-0.0002,1.3048,0.9729,3101.3000,-0.0038,0.9992,20,30
2017-01-20,1366140.6620,0.0470,1.3661,0.9741,3123.1400,0.0070,1.0063,20,30
2017-01-23,1402740.6620,0.0268,1.4027,0.9748,3136.7700,0.0044,1.0107,20,30
2017-01-24,1392730.6620,-0.0071,1.3927,0.9746,3142.5500,0.0018,1.0125,20,30
2017-01-25,1425183.6620,0.0233,1.4252,0.9752,3149.5500,0.0022,1.0148,20,30
2017-01-26,1443380.6620,0.0128,1.4434,0.9755,3159.1700,0.0031,1.0179,20,30
2017-02-03,1411001.6620,-0.0224,1.4110,0.9749,3140.1700,-0.0060,1.0118,20,30
2017-02-06,1468496.6620,0.0407,1.4685,0.9759,3156.9800,0.0054,1.0172,20,30
