交易日期,当日收盘价,持仓数量,股票代码,调仓周期,选股数量
2017-01-03,18.9700,1700.0000,sh600781,20,30
2017-01-03,23.6600,1400.0000,sz002835,20,30
2017-01-03,7.7300,4300.0000,sh603186,20,30
2017-01-03,20.9500,1600.0000,sh600817,20,30
2017-01-03,31.3600,1000.0000,sz002837,20,30
2017-01-03,16.0600,2100.0000,sz300120,20,30
2017-01-03,14.0800,2300.0000,sh600561,20,30
2017-01-03,23.1100,1400.0000,sh600444,20,30
2017-01-03,15.4200,2100.0000,sz300029,20,30
2017-01-03,34.6000,900.0000,sh603239,20,30
2017-01-03,18.4800,1800.0000,sz000995,20,30
2017-01-03,7.8200,4200.0000,sh603929,20,30
2017-01-03,65.8600,500.0000,sz300571,20,30
2017-01-03,31.6100,1000.0000,sh600793,20,30
2017-01-03,17.1800,1900.0000,sz300585,20,30
2017-01-03,36.8100,900.0000,sz002715,20,30
2017-01-03,25.1500,1300.0000,sz002627,20,30
2017-01-03,14.1000,2300.0000,sz002836,20,30
2017-01-03,33.9800,900.0000,sz300579,20,30
2017-01-03,17.5700,1900.0000,sh600306,20,30
2017-01-03,7.9400,4200.0000,sh600448,20,30
2017-01-03,13.4000,2400.0000,sh600301,20,30
2017-01-03,19.5300,1700.0000,sz300330,20,30
2017-01-03,28.0000,1100.0000,sz300576,20,30
2017-01-03,19.3800,1700.0000,sz002833,20,30
2017-01-03,8.3700,4000.0000,sh600719,20,30
2017-01-03,37.5800,800.0000,sz300573,20,30
2017-01-03,33.8300,900.0000,sz300260,20,30
2017-01-03,14.2300,2300.0000,sz300092,20,30
2017-01-03,30.9600,1000.0000,sz300176,20,30
2017-01-04,19.0500,1700.0000,sh600781,20,30
2017-01-04,26.0300,1400.0000,sz002835,20,30
2017-01-04,8.5000,4300.0000,sh603186,20,30
2017-01-04,21.5900,1600.0000,sh600817,20,30
2017-01-04,34.5000,1000.0000,sz002837,20,30
2017-01-04,16.0700,2100.0000,sz300120,20,30
2017-01-04,14.1300,2300.0000,sh600561,20,30
2017-01-04,23.2600,1400.0000,sh600444,20,30
2017-01-04,15.3600,2100.0000,sz300029,20,30
2017-01-04,38.0600,900.0000,sh603239,20,30
2017-01-04,18.1900,1800.0000,sz000995,20,30
2017-01-04,8.6000,4200.0000,sh603929,20,30
2017-01-04,72.4500,500.0000,sz300571,20,30
2017-01-04,31.7600,1000.0000,sh600793,20,30
2017-01-04,18.9000,1900.0000,sz300585,20,30
2017-01-04,36.9800,900.0000,sz002715,20,30
2017-01-04,25.3000,1300.0000,sz002627,20,30
2017-01-04,15.5100,2300.0000,sz002836,20,30
2017-01-04,37.3800,900.0000,sz300579,20,30
2017-01-04,17.5500,1900.0000,sh600306,20,30
2017-01-04,7.9700,4200.0000,sh600448,20,30
2017-01-04,13.4800,2400.0000,sh600301,20,30
2017-01-04,19.5100,1700.0000,sz300330,20,30
2017-01-04,30.8000,1100.0000,sz300576,20,30
2017-01-04,21.3200,1700.0000,sz002833,20,30
2017-01-04,8.3600,4000.0000,sh600719,20,30
2017-01-04,41.3400,800.0000,sz300573,20,30
2017-01-04,34.0400,900.0000,sz300260,20,30
2017-01-04,14.3400,2300.0000,sz300092,20,30
2017-01-04,31.0600,1000.0000,sz300176,20,30
2017-01-05,19.2000,1700.0000,sh600781,20,30
2017-01-05,28.6300,1400.0000,sz002835,20,30
