交易日期,当日收盘价,持仓数量,股票代码,调仓日期
2015-01-05,16.0200,600.0000,sz000001,1
2015-01-07,15.4800,600.0000,sz000001,1
2015-01-09,15.0800,600.0000,sz000001,1
2015-01-13,14.6800,600.0000,sz000001,1
2015-01-15,15.3500,600.0000,sz000001,1
2015-01-19,13.8300,700.0000,sz000001,1
2015-01-21,14.4200,700.0000,sz000001,1
2015-01-23,14.4000,600.0000,sz000001,1
2015-01-27,13.9900,600.0000,sz000001,1
2015-01-29,13.9000,700.0000,sz000001,1
2015-02-02,13.6300,700.0000,sz000001,1
2015-02-04,13.7100,700.0000,sz000001,1
2015-02-06,13.5100,700.0000,sz000001,1
2015-02-10,13.7700,700.0000,sz000001,1
2015-02-12,13.8600,700.0000,sz000001,1
2015-02-16,13.9200,700.0000,sz000001,1
2015-02-25,13.8000,700.0000,sz000001,1
2015-02-27,13.9900,600.0000,sz000001,1
2015-03-03,13.6000,600.0000,sz000001,1
2015-03-05,13.3800,700.0000,sz000001,1
2015-03-09,14.1500,600.0000,sz000001,1
2015-03-11,13.8600,600.0000,sz000001,1
2015-03-13,14.9900,600.0000,sz000001,1
2015-03-17,15.4000,600.0000,sz000001,1
2015-03-19,15.1900,600.0000,sz000001,1
2015-03-23,15.4300,600.0000,sz000001,1
2015-03-25,14.9100,600.0000,sz000001,1
2015-03-27,15.0800,600.0000,sz000001,1
2015-03-31,15.7500,500.0000,sz000001,1
2015-04-02,15.8000,500.0000,sz000001,1
2015-04-07,16.8100,500.0000,sz000001,1
2015-04-09,18.0000,500.0000,sz000001,1
2015-04-13,16.5400,500.0000,sz000001,1
2015-04-15,16.6500,500.0000,sz000001,1
2015-04-17,16.9300,500.0000,sz000001,1
2015-04-21,16.5600,500.0000,sz000001,1
2015-04-23,16.6600,500.0000,sz000001,1
2015-04-27,16.4200,500.0000,sz000001,1
2015-04-29,16.6500,500.0000,sz000001,1
2015-05-04,16.5200,500.0000,sz000001,1
2015-05-06,15.7200,500.0000,sz000001,1
2015-05-08,15.8500,500.0000,sz000001,1
2015-05-12,15.9600,500.0000,sz000001,1
2015-05-14,15.8900,500.0000,sz000001,1
2015-05-18,15.1800,500.0000,sz000001,1
2015-05-20,15.7400,500.0000,sz000001,1
2015-05-22,16.2700,500.0000,sz000001,1
2015-05-26,16.6200,400.0000,sz000001,1
2015-05-28,15.5000,400.0000,sz000001,1
2015-06-01,15.9000,500.0000,sz000001,1
2015-06-03,15.8300,500.0000,sz000001,1
2015-06-05,16.3000,400.0000,sz000001,1
2015-06-09,16.9800,400.0000,sz000001,1
2015-06-11,16.4800,400.0000,sz000001,1
2015-06-15,15.9200,400.0000,sz000001,1
2015-06-17,15.7300,400.0000,sz000001,1
2015-06-19,14.6300,400.0000,sz000001,1
2015-06-24,15.1200,400.0000,sz000001,1
2015-06-26,13.7700,400.0000,sz000001,1
2015-06-30,14.5400,400.0000,sz000001,1
2015-07-02,13.7500,400.0000,sz000001,1
2015-07-06,13.8800,400.0000,sz000001,1
2015-07-08,13.1900,400.0000,sz000001,1
2015-07-10,14.8600,400.0000,sz000001,1
2015-07-14,13.8700,400.0000,sz000001,1
2015-07-16,13.6000,400.0000,sz000001,1
2015-07-20,13.6000,400.0000,sz000001,1
2015-07-22,13.5200,400.0000,sz000001,1
2015-07-24,13.3800,400.0000,sz000001,1
2015-07-28,12.6200,400.0000,sz000001,1
2015-07-30,12.2600,400.0000,sz000001,1
2015-08-03,12.8200,400.0000,sz000001,1
2015-08-05,12.5900,400.0000,sz000001,1
2015-08-07,12.6100,400.0000,sz000001,1
2015-08-11,12.8400,400.0000,sz000001,1
2015-08-13,12.5700,400.0000,sz000001,1
2015-08-17,12.5400,400.0000,sz000001,1
2015-08-19,12.2300,400.0000,sz000001,1
2015-08-21,11.5000,400.0000,sz000001,1
2015-08-25,9.4600,500.0000,sz000001,1
2015-08-27,10.8000,500.0000,sz000001,1
2015-08-31,11.0700,500.0000,sz000001,1
2015-09-02,11.8400,500.0000,sz000001,1
2015-09-08,11.0000,500.0000,sz000001,1
2015-09-10,11.0500,500.0000,sz000001,1
2015-09-14,10.8700,500.0000,sz000001,1
2015-09-16,10.9000,500.0000,sz000001,1
2015-09-18,10.8100,500.0000,sz000001,1
2015-09-22,10.9600,500.0000,sz000001,1
2015-09-24,10.7100,500.0000,sz000001,1
2015-09-28,10.5300,500.0000,sz000001,1
2015-09-30,10.4900,500.0000,sz000001,1
2015-10-09,10.9000,500.0000,sz000001,1
2015-10-13,11.1300,500.0000,sz000001,1
2015-10-15,11.1700,500.0000,sz000001,1
2015-10-19,11.2600,500.0000,sz000001,1
2015-10-21,11.2200,500.0000,sz000001,1
2015-10-23,11.4700,500.0000,sz000001,1
2015-10-27,11.4800,500.0000,sz000001,1
2015-10-29,11.2700,500.0000,sz000001,1
2015-11-02,11.1400,500.0000,sz000001,1
2015-11-04,11.6900,500.0000,sz000001,1
2015-11-06,12.3900,400.0000,sz000001,1
2015-11-10,12.7500,400.0000,sz000001,1
2015-11-12,12.4000,400.0000,sz000001,1
2015-11-16,12.3400,400.0000,sz000001,1
2015-11-18,12.4200,400.0000,sz000001,1
2015-11-20,12.5500,400.0000,sz000001,1
2015-11-24,12.2800,400.0000,sz000001,1
2015-11-26,12.2300,400.0000,sz000001,1
2015-11-30,11.7400,400.0000,sz000001,1
2015-12-02,12.5100,400.0000,sz000001,1
2015-12-04,12.1200,400.0000,sz000001,1
2015-12-08,11.9600,400.0000,sz000001,1
2015-12-10,11.9600,400.0000,sz000001,1
2015-12-14,12.0700,400.0000,sz000001,1
2015-12-16,11.8900,400.0000,sz000001,1
2015-12-18,12.2300,400.0000,sz000001,1
2015-12-22,12.4300,400.0000,sz000001,1
2015-12-24,12.3400,400.0000,sz000001,1
2015-12-28,11.9800,400.0000,sz000001,1
2015-12-30,12.1000,400.0000,sz000001,1
2016-01-04,11.3300,400.0000,sz000001,1
2016-01-06,11.5300,400.0000,sz000001,1
2016-01-08,11.1200,400.0000,sz000001,1
2016-01-12,10.8100,400.0000,sz000001,1
2016-01-14,10.7700,400.0000,sz000001,1
2016-01-18,10.4100,400.0000,sz000001,1
2016-01-20,10.5400,400.0000,sz000001,1
2016-01-22,10.4000,400.0000,sz000001,1
2016-01-26,9.8700,400.0000,sz000001,1
2016-01-28,9.6900,400.0000,sz000001,1
2016-02-01,9.8000,400.0000,sz000001,1
