交易日期,策略总资产,策略涨跌幅,策略累计收益率,策略仓位比例,基准总资产,基准涨跌幅,基准累计收益率,调仓日期
2020-01-02,10093.3500,0.0093,1.0093,0.8357,3085.2000,0.0115,1.0115,1
2020-01-03,10102.9400,0.0010,1.0103,0.0000,3083.7900,-0.0005,1.0110,1
2020-01-06,10115.9300,0.0013,1.0116,0.8437,3083.4100,-0.0001,1.0109,1
2020-01-07,10120.2350,0.0004,1.0120,0.0000,3104.8000,0.0069,1.0179,1
2020-01-08,9933.2350,-0.0185,0.9933,0.8386,3066.8900,-0.0122,1.0055,1
2020-01-09,9983.0200,0.0050,0.9983,0.0000,3094.8800,0.0091,1.0147,1
2020-01-10,9916.2300,-0.0067,0.9916,0.8415,3092.2900,-0.0008,1.0138,1
2020-01-13,9921.1050,0.0005,0.9921,0.0000,3115.5700,0.0075,1.0215,1
2020-01-14,9789.1150,-0.0133,0.9789,0.8561,3106.8200,-0.0028,1.0186,1
2020-01-15,9778.9300,-0.0010,0.9779,0.0000,3090.0400,-0.0054,1.0131,1
2020-01-16,9667.4100,-0.0114,0.9667,0.8446,3074.0800,-0.0052,1.0079,1
2020-01-17,9667.8400,0.0000,0.9668,0.0000,3075.5000,0.0005,1.0083,1
2020-01-20,9661.4100,-0.0007,0.9661,0.8513,3095.7900,0.0066,1.0150,1
2020-01-21,9581.9000,-0.0082,0.9582,0.0000,3052.1400,-0.0141,1.0007,1
2020-01-22,9664.7960,0.0087,0.9665,0.9989,3060.7500,0.0028,1.0035,1
2020-01-23,9534.1400,-0.0135,0.9534,0.0000,2976.5300,-0.0275,0.9759,1
2020-02-03,9517.3520,-0.0018,0.9517,0.8820,2746.6100,-0.0772,0.9005,1
2020-02-04,9528.0620,0.0011,0.9528,0.0000,2783.2900,0.0134,0.9125,1
2020-02-05,9534.5540,0.0007,0.9535,0.9207,2818.0900,0.0125,0.9239,1
2020-02-06,9615.8960,0.0085,0.9616,0.0000,2866.5100,0.0172,0.9398,1
2020-02-07,9610.3760,-0.0006,0.9610,0.9128,2875.9600,0.0033,0.9429,1
2020-02-10,9518.2580,-0.0096,0.9518,0.0000,2890.4900,0.0051,0.9477,1
2020-02-11,9614.7380,0.0101,0.9615,0.9230,2901.6700,0.0039,0.9513,1
2020-02-12,9588.1160,-0.0028,0.9588,0.0000,2926.9000,0.0087,0.9596,1
2020-02-13,9534.4640,-0.0056,0.9534,0.9219,2906.0700,-0.0071,0.9528,1
2020-02-14,9567.9140,0.0035,0.9568,0.0000,2917.0100,0.0038,0.9564,1
2020-02-17,9747.8660,0.0188,0.9748,0.9461,2983.6200,0.0228,0.9782,1
2020-02-18,9696.2720,-0.0053,0.9696,0.0000,2984.9700,0.0005,0.9786,1
2020-02-19,9762.1520,0.0068,0.9762,0.9367,2975.4000,-0.0032,0.9755,1
2020-02-20,9752.6660,-0.0010,0.9753,0.0000,3030.1500,0.0184,0.9935,1
2020-02-21,9788.0780,0.0036,0.9788,0.9550,3039.6700,0.0031,0.9966,1
2020-02-24,9688.2500,-0.0102,0.9688,0.0000,3031.2300,-0.0028,0.9938,1
2020-02-25,9694.2500,0.0006,0.9694,0.9309,3013.0500,-0.0060,0.9878,1
2020-02-26,9505.6640,-0.0195,0.9506,0.0000,2987.9300,-0.0083,0.9796,1
2020-02-27,9577.7120,0.0076,0.9578,0.9466,2991.3300,0.0011,0.9807,1
2020-02-28,9394.9820,-0.0191,0.9395,0.0000,2880.3000,-0.0371,0.9443,1
2020-01-02,10093.3500,0.0093,1.0093,0.8357,3085.2000,0.0115,1.0115,2
2020-01-03,10102.9400,0.0010,1.0103,0.0000,3083.7900,-0.0005,1.0110,2
2020-01-06,10115.9300,0.0013,1.0116,0.8437,3083.4100,-0.0001,1.0109,2
2020-01-07,10120.2350,0.0004,1.0120,0.0000,3104.8000,0.0069,1.0179,2
2020-01-08,9933.2350,-0.0185,0.9933,0.8386,3066.8900,-0.0122,1.0055,2
2020-01-09,9983.0200,0.0050,0.9983,0.0000,3094.8800,0.0091,1.0147,2
2020-01-10,9916.2300,-0.0067,0.9916,0.8415,3092.2900,-0.0008,1.0138,2
2020-01-13,9921.1050,0.0005,0.9921,0.0000,3115.5700,0.0075,1.0215,2
2020-01-14,9789.1150,-0.0133,0.9789,0.8561,3106.8200,-0.0028,1.0186,2
2020-01-15,9778.9300,-0.0010,0.9779,0.0000,3090.0400,-0.0054,1.0131,2
2020-01-16,9667.4100,-0.0114,0.9667,0.8446,3074.0800,-0.0052,1.0079,2
2020-01-17,9667.8400,0.0000,0.9668,0.0000,3075.5000,0.0005,1.0083,2
2020-01-20,9661.4100,-0.0007,0.9661,0.8513,3095.7900,0.0066,1.0150,2
2020-01-21,9581.9000,-0.0082,0.9582,0.0000,3052.1400,-0.0141,1.0007,2
2020-01-22,9664.7960,0.0087,0.9665,0.9989,3060.7500,0.0028,1.0035,2
2020-01-23,9534.1400,-0.0135,0.9534,0.0000,2976.5300,-0.0275,0.9759,2
2020-02-03,9517.3520,-0.0018,0.9517,0.8820,2746.6100,-0.0772,0.9005,2
2020-02-04,9528.0620,0.0011,0.9528,0.0000,2783.2900,0.0134,0.9125,2
2020-02-05,9534.5540,0.0007,0.9535,0.9207,2818.0900,0.0125,0.9239,2
2020-02-06,9615.8960,0.0085,0.9616,0.0000,2866.5100,0.0172,0.9398,2
2020-02-07,9610.3760,-0.0006,0.9610,0.9128,2875.9600,0.0033,0.9429,2
