交易日期,总市值,净利润,股票数量,平均市盈率
2010-01-26,5640096000.0,74735203.3706381,1,75.46772800000001
2010-01-27,5545344000.0,74735225.27734888,1,74.19986999999999
2010-01-28,5327616000.0,74735208.50585008,1,71.28656099999999
2010-01-29,5432448000.0,74735216.06340061,1,72.689266
2010-02-01,5476800000.0,74735235.60853419,1,73.282702
2010-02-02,5473440000.0,74735199.1654471,1,73.23777900000002
2010-02-03,5334336000.0,74735171.29177813,1,71.376514
2010-02-04,5187840000.0,74735183.59902236,1,69.416301
2010-02-05,5173728000.0,74735167.70195146,1,69.227489
2010-02-08,5197248000.0,74735171.22273257,1,69.542197
2010-02-09,5060160000.0,74735167.83858092,1,67.707883
2010-02-10,11152676810.0,148194378.82766053,3,75.2570839611249
2010-02-11,11135734640.0,148194348.91708302,3,75.14277515555341
2010-02-12,11625710010.0,148194378.76611444,3,78.44906201434335
2010-02-22,11487653450.0,148194392.07154608,3,77.51746398375136
2010-02-23,11796185520.0,148194364.1033557,3,79.59942060801276
2010-02-24,6236002870.0,73459265.38962868,2,84.89062389780483
2010-02-25,14470744870.0,194502337.245992,4,74.39882252776472
2010-02-26,19283637860.0,260663796.2375885,5,73.97896500526467
2010-03-01,25662225560.0,366964202.4967033,7,69.93114147211823
2010-03-02,25850375320.0,366964174.51375383,7,70.44386650073692
2010-03-03,25268619860.0,366964176.2769348,7,68.85854667440528
2010-03-04,24184260470.0,366964269.9817509,7,65.90358366824836
2010-03-05,27981295000.0,429176739.8589048,8,65.19760369399113
2010-03-08,32582612600.0,467243900.36903024,9,69.73362857014544
2010-03-09,32542400390.0,467243865.7294349,9,69.64757116542692
2010-03-10,32071757000.0,467243893.8302609,9,68.64029134140155
2010-03-11,38980664550.0,550570989.5463868,10,70.80043316869276
2010-03-12,38981827010.0,550332484.616231,10,70.83322918359725
2010-03-15,46672237790.0,642821935.5362519,11,72.60523515126363
2010-03-16,49817912100.0,716545179.3866733,13,69.52515142540157
2010-03-17,51625710230.0,716545099.660748,13,72.04809614139077
2010-03-18,81589346390.0,1139133500.7119856,17,71.62404260695055
2010-03-19,84128782240.0,1161494321.3544621,17,72.43150542647015
2010-03-22,88596089150.0,1220654938.8663409,18,72.5807812912975
2010-03-23,98540155130.0,1325510585.7138553,20,74.34128115765374
2010-03-24,103242981630.0,1364362033.9351213,21,75.67125078394658
2010-03-25,115282032230.0,1408768061.9737952,21,81.83180421373322
2010-03-26,127050830720.0,1612733085.307032,26,78.7798253024691
2010-03-29,138128463940.0,1800612089.7498903,30,76.71194963440816
2010-03-30,165276674160.0,2164872570.5242558,36,76.34475876793793
2010-03-31,182937452770.0,2363255688.338492,41,77.4090817479914
2010-04-01,188237227440.0,2446582888.7226443,42,76.93883101515446
2010-04-02,181620514190.0,2380421461.621803,41,76.29762927202827
2010-04-06,191584959630.0,2403050892.098856,41,79.72571877687834
2010-04-07,205369081310.0,2522010124.536193,44,81.43071247494224
2010-04-08,171876950880.0,2252602963.7391005,43,76.30148483632512
2010-04-09,222062466330.0,2711380723.132375,47,81.90014203297059
2010-04-12,229289715250.0,2712553046.4191904,47,84.52911752368591
2010-04-13,243649641080.0,3223315429.931107,50,75.58976041175332
2010-04-14,244172252540.0,3200785263.442118,50,76.28510894773918
2010-04-15,244898691110.0,3468255467.5617146,54,70.61149139690421
2010-04-16,238879240230.0,3278979500.9274845,49,72.85170284304344
2010-04-19,238781868080.0,3414336654.6941767,52,69.9350685737777
2010-04-20,249194066110.0,4003000695.5654516,56,62.25181683981686
2010-04-21,255582547020.0,4001690857.0944057,55,63.86863856984104
2010-04-22,258938450540.0,4057310010.392379,55,63.820228150364656
2010-04-23,274266274850.0,4287941574.7580657,58,63.96222291472678
2010-04-26,275984276160.0,4528292584.942698,61,60.946652846084234
2010-04-27,286609244190.0,4802603621.208964,62,59.67788866111994
2010-04-28,279157536000.0,4805390845.297746,64,58.09257664715578
2010-04-29,277103598050.0,4896774130.80717,65,56.58900954950174
2010-04-30,276500373330.0,4971904701.757583,67,55.612564985860715
2010-05-04,279755752480.0,4967573043.793576,67,56.316384281359156
2010-05-05,269541330050.0,4699751537.910688,66,57.352251044706655
2010-05-06,277744280730.0,4928992740.610114,66,56.34909510855166
2010-05-07,281411276600.0,5035189814.155152,68,55.888911240025934
2010-05-10,265164046730.0,4995054098.259677,67,53.08532030161307
2010-05-11,259106200460.0,5034114997.273915,68,51.4700599013554
2010-05-12,255820579600.0,5033189884.508253,68,50.82672926515148
2010-05-13,250835471680.0,4923525862.65195,67,50.94630934768624
2010-05-14,260545130740.0,5031190761.639812,68,51.785977332944675
2010-05-17,247489989460.0,5031191446.089833,68,49.191129399845344
2010-05-18,236760705200.0,4841048193.522658,65,48.90690935834656
2010-05-19,255098496030.0,4992100370.120544,67,51.10043410922848
2010-05-20,249568248600.0,4972189811.263726,67,50.1928241022983
2010-05-21,249454228500.0,4835201514.818615,64,51.591278612791776
2010-05-24,269899117890.0,4942261012.025251,66,54.610454047913606
2010-05-25,273471436050.0,5026559796.632891,68,54.40528853017695
2010-05-26,272196635760.0,5026559322.417262,68,54.151680762239806
2010-05-27,280012777500.0,4918886413.428695,67,56.92605072879045
2010-05-28,285962883350.0,5026424138.7061825,68,56.89191271145052
2010-05-31,270410606610.0,4935791024.26243,66,54.78566764288978
2010-06-01,269860789080.0,5026283622.891543,68,53.68992466938291
2010-06-02,277359330150.0,5025170796.8163805,68,55.19401058481768
2010-06-03,277855765080.0,4996640890.584351,67,55.6085120312709
