20050101_20090101收益,20090101_20130101收益,20130101_20170101收益,快线,慢线,择时变量,sigmod乘积
3.033354871822494,1.5126588098640452,1.4191440063925678,90.0,110.0,收盘价-成交量,0.33363656706546113
3.033354871822494,1.5126588098640452,1.4191440063925678,90.0,110.0,成交量,0.33363656706546113
3.5668049852832255,1.1939589381464275,1.6364477641622701,40.0,60.0,最低价,0.33301666575113886
3.7975008498974137,1.3486104877026086,1.3910860624847303,30.0,80.0,最低价,0.32964626528300145
2.8608741783826273,1.3624521920697177,1.5974427300738423,10.0,60.0,最低价,0.3291594139686515
3.5255062288377346,1.1208946813932548,1.7067132623948649,40.0,60.0,开盘价,0.32874704452773446
3.709400619233869,1.243414398381818,1.5123452632126066,40.0,70.0,收盘价,0.32866499529914933
3.895345924637662,1.2284416942916032,1.4955464183767655,40.0,130.0,最高价,0.3279145698763775
3.753565680666249,1.2867691736449343,1.4324435729029292,80.0,120.0,开盘价,0.32566623238519343
3.6017993637202848,1.2354836340718598,1.5131536303569284,90.0,110.0,收盘价,0.32531132653392875
2.7232327102916196,1.4607968191355825,1.500728891730785,80.0,110.0,收盘价-成交量,0.3239736033847259
2.7232327102916196,1.4607968191355825,1.500728891730785,80.0,110.0,成交量,0.3239736033847259
3.7377541197273367,1.3007556242050666,1.4019980078396113,30.0,80.0,开盘价,0.3233709016525901
3.513212026656924,1.2601327200642716,1.4812778800610948,90.0,110.0,最高价,0.3228408209347291
3.3742832680100774,1.1447651231948845,1.6522738768203709,40.0,60.0,最高价,0.3224979713442617
2.6693264227446103,1.3452016076375888,1.6323763472917046,10.0,60.0,收盘价,0.32171489294443134
3.7934877785020324,1.1994515483731103,1.4939397787918829,70.0,90.0,收盘价,0.32169146865888854
2.7815735821422796,1.3867706405352624,1.536468781727106,10.0,60.0,最高价,0.3216079851776106
3.9424723686362557,1.1829447275668985,1.480522201881901,40.0,90.0,最低价,0.32022877943359745
3.536197648207323,1.1410292244128277,1.5977946031766763,40.0,60.0,收盘价,0.3199546703902413
3.636349473302158,1.2383650836650575,1.4594677201610533,90.0,110.0,开盘价,0.319883955914947
3.7056784198017114,1.2808234821941284,1.3985855711994188,80.0,120.0,最高价,0.3195533662684706
3.8297679424028654,1.2325002863174663,1.42958727896382,80.0,120.0,收盘价,0.3191048570842785
3.340191095632248,1.5013272846936296,1.2465083469697278,10.0,80.0,最低价,0.3188625871342645
3.3939073515557925,1.2339566355283083,1.4998743785854411,40.0,150.0,最低价,0.3183945303062116
3.376282092037368,1.2547054891620264,1.4779401387351536,40.0,150.0,开盘价,0.3181681835437701
3.5771063938062806,1.3690489044916785,1.3157558850296338,70.0,120.0,最低价,0.31775436045240407
3.797062393018909,1.1593452922599923,1.507160880948671,10.0,140.0,收盘价,0.31751634385418387
3.3976595985024955,1.2198360035099542,1.5071865147961252,40.0,150.0,收盘价,0.31737891513034683
3.2669229060236096,1.2115402147081549,1.5482294638187435,40.0,140.0,最高价,0.31736389878034793
2.7426522193636043,1.359383788906885,1.5426400350373894,10.0,60.0,开盘价,0.31694702552683746
3.7925168003234906,1.173312775966951,1.4858239259210118,30.0,90.0,最低价,0.31690388669360026
3.6972165296623927,1.2581601596349996,1.402965665822917,70.0,100.0,最低价,0.31682043150255934
3.8239099420558276,1.1786890105189367,1.4729304412360371,40.0,90.0,收盘价,0.3166844978016455
3.221860383888954,1.1812982270068384,1.5917745269003423,40.0,140.0,收盘价,0.31665719570438416
3.62537986706809,1.50858300379168,1.1747275927173646,10.0,80.0,收盘价,0.3165258067963062
3.8848623440138863,1.3165510630080086,1.3095505233828892,60.0,90.0,最高价,0.3160024504784049
3.958797675689975,1.3124158536256485,1.3035080538175072,60.0,90.0,收盘价,0.31583526319137634
3.6052038585651247,1.1804698624649406,1.4969552158522266,40.0,70.0,最低价,0.31553322704531644
3.6211924939698,1.1957247437403142,1.474356837440448,40.0,70.0,最高价,0.31534270009672566
3.807650967123328,1.3230812571346977,1.3047354789905259,60.0,90.0,开盘价,0.3148885636428124
2.7661417905203365,1.4593717175098517,1.4118097217982395,70.0,130.0,收盘价-成交量,0.31482014205367365
2.7661417905203365,1.4593717175098517,1.4118097217982395,70.0,130.0,成交量,0.31482014205367365
3.5728516156201615,1.1309588914729973,1.5542599490642712,20.0,110.0,开盘价,0.3143363786208587
3.4325517871800066,1.260223072225126,1.4260836191010273,80.0,110.0,最低价,0.31402762866718026
2.718913427716897,1.21081294645757,1.7091522080256163,10.0,50.0,最低价,0.3140094984726502
3.2248871202785776,1.4093729331663467,1.318674139366428,90.0,130.0,收盘价-成交量,0.31400584528013115
3.2248871202785776,1.4093729331663467,1.318674139366428,90.0,130.0,成交量,0.31400584528013115
3.0253209366249822,1.4059522389318857,1.3692078956495688,80.0,120.0,收盘价-成交量,0.3134671978008431
3.0253209366249822,1.4059522389318857,1.3692078956495688,80.0,120.0,成交量,0.3134671978008431
3.9568422081327266,1.1150951913992198,1.5034128105566953,20.0,110.0,最高价,0.3132601807717388
3.4585680617284336,1.262018962317546,1.4114178937891821,80.0,110.0,收盘价,0.3130985347685932
3.615901614269098,1.2676846875671581,1.3730524548398506,20.0,90.0,收盘价,0.3126391872130886
2.5057275281150204,1.175591886588652,1.8579398354568026,10.0,50.0,收盘价-成交量,0.3125266729649326
2.5057275281150204,1.175591886588652,1.8579398354568026,10.0,50.0,成交量,0.3125266729649326
3.0274525896270608,1.4731628085836421,1.2982031841343387,90.0,120.0,成交量,0.3125130388180862
3.0274525896270608,1.4731628085836421,1.2982031841343387,90.0,120.0,收盘价-成交量,0.3125130388180862
3.4247925631458394,1.3567196868185436,1.3151100381020184,10.0,90.0,收盘价,0.31243459406615626
3.755073154501503,1.1117612018416667,1.5294320738559721,10.0,160.0,最高价,0.3123730002092317
3.7766797050379397,1.1977796973274633,1.4199421414531468,70.0,90.0,开盘价,0.31205264891076734
3.93547798841701,1.2787992046273449,1.3098131976266083,60.0,90.0,最低价,0.31180833746528114
3.983788373145797,1.1794133378253393,1.4095146355593011,100.0,110.0,最低价,0.3116019466265336
3.3833356047784915,1.2688383475795055,1.407225506867194,30.0,70.0,开盘价,0.3115829024937389
3.7729061364871734,1.1536675773969307,1.4673772186163703,10.0,160.0,最低价,0.31149034041012497
3.847267326765092,1.1770630308488264,1.42693219203331,20.0,100.0,收盘价,0.3112352323046825
2.491253774597757,1.1569953057136089,1.8799470846572748,10.0,40.0,成交量,0.31107120084605955
2.491253774597757,1.1569953057136089,1.8799470846572748,10.0,40.0,收盘价-成交量,0.31107120084605955
3.631897838063952,1.2799717000626845,1.3451835589949053,40.0,80.0,最高价,0.31105818776368
3.7952089667421225,1.128206772501841,1.4910900936667724,30.0,90.0,开盘价,0.3110333085348955
3.0717951240944754,1.4706886640756305,1.2763134317364062,80.0,130.0,成交量,0.31086895440747997
3.0717951240944754,1.4706886640756305,1.2763134317364062,80.0,130.0,收盘价-成交量,0.31086895440747997
3.8607740086970987,1.1991600789161216,1.3968840371425975,100.0,110.0,收盘价,0.3108542937523202
3.9821958472223504,1.2993875225489762,1.276221119549371,90.0,120.0,最低价,0.3108022005425338
3.5903575306176356,1.2179067837152115,1.417061311315121,90.0,110.0,最低价,0.3107908418419943
3.6042182883384455,1.3250685780509412,1.3014587477518393,70.0,120.0,收盘价,0.3107233910047791
3.748988663676521,1.3015245609212387,1.302056785661735,40.0,80.0,最低价,0.3106104864578546
3.7848806189139337,1.0755924591395754,1.55334706793221,20.0,110.0,收盘价,0.3102924613551054
3.9708367370942543,1.1209911692542642,1.4691842792088783,20.0,100.0,最高价,0.31027595665015256
3.823991722618304,1.1356703798253982,1.468087611417529,30.0,90.0,收盘价,0.30989269761172594
4.123039451608376,1.2208990584099275,1.330986647308558,100.0,110.0,开盘价,0.3093901020577748
3.4329221766944507,1.3946348204859131,1.2541199739164588,10.0,90.0,最低价,0.3092985193007974
3.7635912172081483,1.0818865293113114,1.5386566850049306,30.0,90.0,最高价,0.30917261634790033
3.7985214435761017,1.142383468077484,1.4575231262687671,10.0,160.0,开盘价,0.3091491158173693
3.9973658456021117,1.1548207000010549,1.4150115967161072,20.0,100.0,最低价,0.308985658063856
3.1897778434678874,1.1818271478251292,1.5310503730757632,80.0,90.0,开盘价,0.30883891277803166
3.697652477086143,1.2468651192432119,1.3511152514767955,30.0,80.0,收盘价,0.3086874536994079
3.9883531330054223,1.336980391086408,1.2231190844646946,60.0,80.0,收盘价,0.3085951271015167
2.674246744015446,1.2960936031529635,1.570894029590615,10.0,40.0,收盘价,0.30859494035877966
3.068756705951907,1.3988586686196212,1.320210417949804,10.0,70.0,最低价,0.3078157906641872
2.639490801306972,1.2685276426756762,1.6101200769779387,10.0,40.0,最高价,0.3075374198099568
2.990124390819586,1.318360172308712,1.417632381509663,40.0,50.0,最低价,0.307072958166983
2.563907333613455,1.3065380106722098,1.5945694752934672,30.0,130.0,成交量,0.3069565188058911
2.563907333613455,1.3065380106722098,1.5945694752934672,30.0,130.0,收盘价-成交量,0.3069565188058911
3.4890482357041908,1.23569738798212,1.3843375913271678,110.0,220.0,成交量,0.30688517274852695
3.4890482357041908,1.23569738798212,1.3843375913271678,110.0,220.0,收盘价-成交量,0.30688517274852695
3.3123701701096726,1.1353106686267733,1.5373998478851456,80.0,90.0,收盘价,0.3065654015652249
3.547160017767925,1.0095838074258923,1.654283512733939,20.0,130.0,收盘价,0.30655927543324796
3.5339550209110824,1.3468958127852502,1.259713178609334,70.0,120.0,开盘价,0.3064444120023179
3.5993216489687496,1.0051022178007967,1.644574681183657,20.0,130.0,最高价,0.3059876876562094
3.369424684817,1.1825846863186993,1.4608084075414414,40.0,150.0,最高价,0.3059034370722429
3.7545067598175073,1.409492622308437,1.1660051223748955,90.0,140.0,成交量,0.30589930077907046
3.7545067598175073,1.409492622308437,1.1660051223748955,90.0,140.0,收盘价-成交量,0.30589930077907046
3.5249499994189186,1.1288559990957328,1.4924086247587076,40.0,70.0,开盘价,0.30581902230248265
3.2087947214385264,1.1855709443182163,1.495132904292059,40.0,140.0,开盘价,0.30581133480821043
2.6840044472662696,1.3184481189683857,1.5162398428949457,10.0,160.0,收盘价-成交量,0.3058084490081196
2.6840044472662696,1.3184481189683857,1.5162398428949457,10.0,160.0,成交量,0.3058084490081196
3.5948070279256803,1.2274666426063254,1.3656407755670383,100.0,230.0,收盘价-成交量,0.3058017199530877
3.5948070279256803,1.2274666426063254,1.3656407755670383,100.0,230.0,成交量,0.3058017199530877
3.376523193914885,1.3797021484945264,1.2520022999673617,80.0,140.0,收盘价-成交量,0.305720564318622
3.376523193914885,1.3797021484945264,1.2520022999673617,80.0,140.0,成交量,0.305720564318622
3.838501927264999,1.322072945894004,1.2328998770584063,60.0,80.0,最高价,0.305639484714197
3.8664842178165006,1.3200898706348612,1.2291327136770998,60.0,80.0,开盘价,0.30534189528575667
3.2642874504934922,1.1520312122979002,1.5175910615036252,40.0,140.0,最低价,0.30533584972581784
3.7964243107291544,1.1256210238608777,1.4445675493324373,70.0,90.0,最低价,0.3051616210670754
3.5309498850148135,1.1393226413490556,1.4710387233988318,30.0,140.0,收盘价,0.3049537066624466
2.5260020736928097,1.3897109934167673,1.5001158440824836,30.0,150.0,收盘价-成交量,0.3048576563008552
2.5260020736928097,1.3897109934167673,1.5001158440824836,30.0,150.0,成交量,0.3048576563008552
3.3653357783462345,1.209280496228285,1.4210638010409926,130.0,210.0,收盘价-成交量,0.30472285045517356
3.3653357783462345,1.209280496228285,1.4210638010409926,130.0,210.0,成交量,0.30472285045517356
4.026697223553368,1.0871957564837151,1.4555393738640183,10.0,140.0,最高价,0.3045462395287493
3.7596455224359286,1.2942205983964714,1.2619377353185681,40.0,80.0,收盘价,0.3045439809132184
3.6403905655344397,1.057999500366391,1.5496850103157234,20.0,140.0,收盘价,0.3045013844931696
2.7458540119949078,1.416751259068599,1.3778081004946314,70.0,120.0,成交量,0.30448122348050394
2.7458540119949078,1.416751259068599,1.3778081004946314,70.0,120.0,收盘价-成交量,0.30448122348050394
3.70634043025257,1.0237083602467163,1.5834520311940858,20.0,140.0,最低价,0.3044063718790027
3.597435944066514,1.0319248045119949,1.5918262233392124,20.0,140.0,开盘价,0.30436541516625715
3.4878871916565286,1.3049763713654028,1.2922579987424334,90.0,200.0,收盘价-成交量,0.30430903574073925
3.4878871916565286,1.3049763713654028,1.2922579987424334,90.0,200.0,成交量,0.30430903574073925
2.6180534839541734,1.3234573029488346,1.5247410523561584,10.0,150.0,成交量,0.3041790495592607
2.6180534839541734,1.3234573029488346,1.5247410523561584,10.0,150.0,收盘价-成交量,0.3041790495592607
3.6140606629124163,1.1888643906513547,1.3878653171143769,40.0,130.0,最低价,0.3036897239000447
4.11079014247158,1.1011603493502238,1.4177962710632344,30.0,120.0,开盘价,0.30320132470393135
3.980896141460045,1.2319251249825611,1.2865292505983363,100.0,110.0,最高价,0.3031568538165389
3.8937824371630256,1.2720835183954695,1.2551045814357604,80.0,130.0,最低价,0.3030291056579959
3.5772692204060976,1.236020152906557,1.3367768351884037,110.0,210.0,收盘价-成交量,0.3029502178073247
3.5772692204060976,1.236020152906557,1.3367768351884037,110.0,210.0,成交量,0.3029502178073247
3.4609720650415023,1.160169742395967,1.4422668490031596,140.0,210.0,收盘价-成交量,0.3028744150103485
3.4609720650415023,1.160169742395967,1.4422668490031596,140.0,210.0,成交量,0.3028744150103485
3.8471325336321063,1.1498630059325627,1.3877387077028513,50.0,100.0,开盘价,0.30259362599278034
2.5924665261196482,1.4031120694457675,1.4366999040492727,30.0,160.0,收盘价-成交量,0.30258706240329336
2.5924665261196482,1.4031120694457675,1.4366999040492727,30.0,160.0,成交量,0.30258706240329336
3.7578842988854615,1.168321206892457,1.3784578618801662,20.0,90.0,最低价,0.30248133331253735
3.371381932194919,1.2505472051815185,1.3540196026966997,100.0,110.0,收盘价-成交量,0.3021987915355108
3.371381932194919,1.2505472051815185,1.3540196026966997,100.0,110.0,成交量,0.3021987915355108
3.560882022775028,1.154036774594328,1.4246300459462289,30.0,160.0,最高价,0.3021914584520743
3.6298324001200246,1.17878435569926,1.3843025097269646,40.0,50.0,开盘价,0.3021897415622794
3.7127506301808193,1.151730279964959,1.4017371407513535,40.0,90.0,开盘价,0.3021834748061486
3.3703982983491034,1.11830633758059,1.5057702194802898,80.0,90.0,最低价,0.30210614964675925
3.736378271358651,1.2941578831442104,1.246698508842262,40.0,80.0,开盘价,0.30209216094131686
3.400953200688896,1.2231565398007644,1.376248211125413,80.0,110.0,开盘价,0.3020529901622783
3.8301928634057227,1.3291166066459315,1.2002241821926163,80.0,130.0,开盘价,0.30196857032167734
3.730512469495566,1.2363969209040795,1.3045029037615015,100.0,200.0,成交量,0.3019454987380797
3.730512469495566,1.2363969209040795,1.3045029037615015,100.0,200.0,收盘价-成交量,0.3019454987380797
3.5713649635226794,1.1978102281970935,1.3695824228974491,110.0,200.0,成交量,0.30176404681180813
3.5713649635226794,1.1978102281970935,1.3695824228974491,110.0,200.0,收盘价-成交量,0.30176404681180813
3.7871603019992413,1.0332987186732134,1.5329281975621978,10.0,160.0,收盘价,0.30174226758014144
