交易日期,最高价,最低价,收盘价,涨跌幅,最近N1个交易日的最高点,最近N2个交易日的最低点,当天的仓位,资金指数
2006-01-04,2949.03,2873.54,2948.8,0.029747526280499998,2949.03,2873.54,,
2006-01-05,3042.66,2946.3,3037.97,0.0302393351217,3042.66,2873.54,,
2006-01-06,3075.85,3016.86,3053.31,0.00505146861323,3075.85,2873.54,1.0,2878.0800099143826
2006-01-09,3069.34,3024.55,3064.85,0.0037773053294000002,3075.85,2873.54,1.0,2888.9513968742717
2006-01-10,3082.19,3023.69,3079.92,0.0049176345642,3082.19,2873.54,1.0,2903.158204117834
2006-01-11,3096.57,3032.29,3043.97,-0.0116735201471,3096.57,2873.54,1.0,2869.268128331846
2006-01-12,3084.83,3031.79,3084.19,0.0132130262436,3096.57,2873.54,1.0,2907.1798434114203
2006-01-13,3082.91,3027.12,3045.57,-0.012519381938700001,3096.57,2873.54,1.0,2870.7837485872633
2006-01-16,3041.54,2980.89,2985.31,-0.019788652627299997,3096.57,2873.54,1.0,2813.9748062183717
2006-01-17,3026.28,2970.52,3024.55,0.0131473293909,3096.57,2873.54,1.0,2850.9710598934184
2006-01-18,3129.17,3020.76,3123.05,0.0325636696205,3129.17,2873.54,1.0,2943.8091395853944
2006-01-19,3163.33,3109.69,3161.18,0.012209685206899999,3163.33,2873.54,1.0,2979.7521224889274
2006-01-20,3163.59,3120.66,3153.35,-0.00247638798553,3163.59,2873.54,1.0,2972.373100132939
2006-01-23,3160.77,3120.86,3154.1,0.00023942803148500002,3163.59,2873.54,1.0,2973.0847695731427
2006-01-24,3231.91,3150.78,3198.15,0.0139653316375,3231.91,2873.54,1.0,3014.6048843666317
2006-01-25,3242.81,3193.75,3242.35,0.0138192014981,3242.81,2873.54,1.0,3056.264316700851
2006-02-06,3363.66,3249.71,3359.5,0.0361320319963,3363.66,2873.54,1.0,3166.693356781036
2006-02-07,3397.37,3324.45,3358.69,-0.000240065485935,3397.37,2873.54,1.0,3165.933143001533
2006-02-08,3356.66,3299.1,3335.68,-0.006851116364149999,3397.37,2873.54,1.0,3144.24296663771
2006-02-09,3327.84,3253.11,3262.52,-0.021932211957700003,3397.37,2873.54,1.0,3075.2827634469045
2006-02-10,3323.35,3257.13,3321.91,0.0182035453657,3397.37,2946.3,1.0,3131.2638127436653
2006-02-13,3322.97,3257.62,3307.7,-0.0042795216840900005,3397.37,2970.52,1.0,3117.8635013584226
2006-02-14,3337.12,3297.24,3334.68,0.0081580625989,3397.37,2970.52,1.0,3143.2992269773304
2006-02-15,3395.75,3336.31,3362.15,0.00823628883298,3397.37,2970.52,1.0,3169.188347299199
2006-02-16,3360.0,3273.73,3277.13,-0.0252862835946,3397.37,2970.52,1.0,3089.0513519846895
2006-02-17,3312.77,3261.16,3295.87,0.005719637608600001,3397.37,2970.52,1.0,3106.719606272398
2006-02-20,3340.4,3295.64,3308.53,0.00384016419071,3397.37,2970.52,1.0,3118.6499196549817
2006-02-21,3361.12,3275.94,3359.69,0.015463447014600002,3397.37,2970.52,1.0,3166.874997444653
2006-02-22,3384.68,3348.29,3363.03,0.000992680074579,3397.37,2970.52,1.0,3170.0186911532987
2006-02-23,3366.03,3323.53,3358.97,-0.0012053126649700001,3397.37,3020.76,1.0,3166.1978274766598
2006-02-24,3394.41,3358.29,3390.87,0.00949632154077,3397.37,3109.69,1.0,3196.2650601080654
2006-02-27,3401.44,3338.15,3345.44,-0.013399207437,3401.44,3120.66,1.0,3153.437641544042
2006-02-28,3356.55,3295.0,3351.64,0.00185359928442,3401.44,3120.86,1.0,3159.282851299871
2006-03-01,3380.81,3349.59,3378.18,0.0079200670311,3401.44,3150.78,1.0,3184.30458325237
2006-03-02,3391.77,3329.67,3342.68,-0.0105107078997,3401.44,3193.75,1.0,3150.835287914128
2006-03-03,3354.94,3312.67,3350.42,0.00231661670869,3401.44,3249.71,1.0,3158.13456558844
2006-03-06,3355.25,3325.22,3330.05,-0.006079685350499999,3401.44,3253.11,1.0,3138.9341011351244
2006-03-07,3326.1,3225.21,3233.47,-0.029002382126000002,3401.44,3225.21,1.0,3047.897534865671
2006-03-08,3228.07,3160.47,3199.94,-0.0103691351882,3401.44,3160.47,0.0,3047.897534865671
2006-03-09,3207.73,3176.49,3184.93,-0.004690677449279999,3401.44,3160.47,0.0,3047.897534865671
2006-03-10,3224.52,3180.53,3213.51,0.00897381514776,3401.44,3160.47,0.0,3047.897534865671
2006-03-13,3280.99,3211.7,3277.75,0.0199887101783,3401.44,3160.47,0.0,3047.897534865671
2006-03-14,3281.15,3248.54,3269.5,-0.0025149279322300004,3401.44,3160.47,0.0,3047.897534865671
2006-03-15,3312.23,3259.68,3312.06,0.013016038790200002,3401.44,3160.47,0.0,3047.897534865671
2006-03-16,3316.66,3298.47,3309.42,-0.000796603757896,3401.44,3160.47,0.0,3047.897534865671
2006-03-17,3323.6,3292.35,3300.35,-0.00274180783758,3401.44,3160.47,0.0,3047.897534865671
2006-03-20,3346.91,3283.95,3345.63,0.0137213691221,3401.44,3160.47,0.0,3047.897534865671
2006-03-21,3400.52,3340.49,3370.86,0.00753890040207,3401.44,3160.47,0.0,3047.897534865671
2006-03-22,3401.12,3360.45,3399.9,0.008615407563219999,3401.44,3160.47,0.0,3047.897534865671
2006-03-23,3409.96,3388.26,3405.24,0.00157051793473,3409.96,3160.47,0.0,3047.897534865671
