candle_end_time,open,high,low,close,amount,info
1990-12-19,113.100,113.100,113.100,113.100,2650.000,
1990-12-20,113.100,113.500,112.850,113.500,1990.000,
1990-12-21,113.500,113.500,113.400,113.500,1190.000,
1990-12-24,113.500,114.000,113.300,114.000,8070.000,
1990-12-25,114.000,114.200,114.000,114.100,2780.000,
1990-12-26,114.400,114.400,114.200,114.300,310.000,
1990-12-27,114.300,114.300,114.100,114.250,6110.000,
1990-12-28,114.300,114.400,114.200,114.400,4840.000,
1990-12-31,114.700,114.800,114.600,114.700,2400.000,
1991-01-02,115.000,115.000,114.800,114.900,520.000,
1991-01-03,115.200,115.200,114.800,114.900,1900.000,
1991-01-04,115.200,115.500,115.000,115.200,2100.000,
1991-01-07,115.700,116.100,115.700,115.700,830.000,
1991-01-08,116.000,116.100,115.700,115.700,1400.000,
1991-01-09,116.000,116.000,115.900,116.000,630.000,
1991-01-10,116.100,116.400,116.000,116.400,540.000,
1991-01-11,116.350,116.500,116.300,116.500,1090.000,
1991-01-14,117.000,117.000,117.000,117.000,1610.000,
1991-01-15,117.300,117.500,117.300,117.500,270.000,
1991-01-16,117.500,118.000,117.500,117.900,1060.000,
1991-01-17,117.800,118.000,117.800,117.900,4180.000,
1991-01-18,117.900,118.100,117.900,118.100,1040.000,
1991-01-21,118.300,118.300,118.300,118.300,130.000,
1991-01-22,118.200,118.300,118.200,118.300,1670.000,
1991-01-23,118.300,118.400,118.300,118.400,340.000,
1991-01-24,118.300,118.400,118.300,118.400,650.000,
1991-01-25,118.400,118.700,118.400,118.700,2890.000,
1991-01-28,118.600,118.700,118.500,118.700,9750.000,
1991-01-29,118.700,118.700,118.700,118.700,1230.000,
1991-01-30,118.700,118.700,118.700,118.700,1170.000,
1991-01-31,118.800,118.900,118.800,118.800,690.000,
1991-02-01,119.000,119.000,118.900,119.000,540.000,
1991-02-04,119.100,119.200,119.100,119.100,3850.000,
1991-02-05,119.200,119.500,119.200,119.300,2840.000,
1991-02-06,119.500,119.700,119.500,119.700,890.000,
1991-02-07,119.500,119.900,119.500,119.900,850.000,
1991-02-08,120.200,120.200,120.000,120.000,100.000,
1991-02-11,120.200,120.300,120.200,120.300,930.000,
1991-02-12,119.400,120.500,119.400,120.500,5190.000,
1991-02-13,120.500,120.600,120.500,120.500,1100.000,
1991-02-14,120.500,120.700,120.500,120.700,350.000,
1991-02-19,120.900,121.200,120.900,121.000,400.000,
1991-02-20,121.100,121.300,121.100,121.200,230.000,
1991-02-21,121.300,121.400,121.300,121.300,130.000,
1991-02-22,121.600,121.900,121.600,121.900,1470.000,
1991-02-25,122.100,122.400,122.100,122.400,1390.000,
1991-02-26,122.500,122.800,122.500,122.700,930.000,
1991-02-27,122.600,122.700,122.600,122.600,200.000,
1991-02-28,122.500,122.600,122.500,122.600,460.000,
1991-03-01,122.700,122.700,122.600,122.600,700.000,
1991-03-04,122.600,122.800,122.600,122.700,960.000,
1991-03-05,122.700,123.100,122.700,122.900,2710.000,
1991-03-06,122.800,123.000,122.700,122.900,1140.000,
1991-03-07,122.900,122.900,122.800,122.800,10820.000,
1991-03-08,122.900,123.100,122.900,123.100,2540.000,
1991-03-11,123.000,123.300,123.000,123.200,3110.000,
1991-03-12,123.000,123.100,123.000,123.100,1450.000,
1991-03-13,123.100,123.100,123.000,123.100,7840.000,
1991-03-14,123.100,123.200,123.100,123.200,5260.000,
1991-03-15,123.200,123.300,123.200,123.300,3180.000,
1991-03-18,123.300,123.800,123.300,123.800,3580.000,
1991-03-19,123.800,124.300,123.800,124.300,5170.000,
1991-03-20,124.200,124.200,124.200,124.200,1280.000,
1991-03-21,124.300,124.300,124.300,124.300,2650.000,
1991-03-22,124.300,124.300,124.300,124.300,1760.000,
1991-03-25,124.400,124.500,124.400,124.500,5480.000,
1991-03-26,124.500,124.600,124.500,124.500,4580.000,
1991-03-27,124.600,124.800,124.600,124.800,5760.000,
1991-03-28,124.800,124.900,124.800,124.900,1860.000,
1991-03-29,125.000,125.200,125.000,125.200,3260.000,
1991-04-01,125.200,125.400,125.200,125.400,4350.000,
